COMID,logQ_m3_div_s,D50_m,logDA_km2,logRT_total_hz_s,logq_hz_total_m_s,pred_DOC,tn_conc_mg_l,pred_DO,StreamOrde,totco2g_per_km,totco2g_per_m2,logtotco2_ang_per_m2,logtotco2_o2g_per_m2,logtotco2g_per_m2,logtotco2g_per_km,ID,m_div_s,site_ID
24422913,0.828207425,0.027570949,2.314296033,5.456977435,-3.814905468,1.582604672,0.075768,10.88587508,3,125674072.5,10297.44144,1.826509419,4.009891526,4.012729331,8.099245689,9,3.27E-08,S01
24422975,1.01999183,0.038683941,2.457377853,5.031331723,-3.104512892,1.373010658,0.063267827,11.11364721,5,717177364.8,49407.57449,2.397665541,4.691591841,4.693793534,8.855626574,9,3.65E-08,S02
24423897,0.003482687,0.01323694,1.623457082,4.442539344,-3.556916378,1.514378905,0.104058358,11.3737407,3,107711799.8,20389.04479,2.155266887,4.306340682,4.30939688,8.032263283,9,2.40E-08,S03
24423139,0.33708366,0.207903517,1.779928217,3.592374358,-2.737269684,1.626283138,0.085758582,11.30766557,2,862857995.6,135116.4592,2.985246677,5.127590222,5.130708256,8.935939328,9,3.61E-08,S04
24422835,0.82444132,0.039947267,2.341033879,5.029638522,-3.384333038,1.692614206,0.10464517,11.0310816,4,429773919.7,34091.74206,2.44377781,4.52909543,4.532649194,8.633240057,9,3.04E-08,S08
24423157,0.784370215,0.036251466,2.244571005,5.120366596,-3.502445013,1.521927691,0.096698977,11.19416515,4,254983412.8,22735.16194,2.194099803,4.353701073,4.356698052,8.40651193,9,3.47E-08,S10
24423001,0.916442023,0.096304762,2.342649244,4.488593715,-2.893186339,1.388054206,0.059595042,11.10265677,5,1050928627,83201.67095,2.615758307,4.917971867,4.920132048,9.021573222,9,3.75E-08,S11
24422871,0.001121753,0.01027966,1.477832914,4.705381512,-3.820079674,1.399170292,0.048071126,11.48259945,2,40438383.74,9132.345457,1.604877656,3.958663492,3.960582332,7.606793789,9,3.34E-08,S12
24125883,0.739447959,0.04233094,2.130686851,4.998893219,-3.506555726,1.929969861,0.099701593,10.89225469,4,290999536,29786.93196,2.461453897,4.469786118,4.474025773,8.463892296,9,4.06E-08,S13
24125945,0.812708343,0.02479009,2.137677496,5.159379785,-3.562438191,2.049148437,0.09787632,11.11697899,4,279188872.4,28336.86387,2.478023039,4.447719774,4.452351784,8.445898105,9,4.73E-08,S14
24126041,-0.141823872,0.014477327,1.213836388,4.707994866,-3.905307255,1.949516654,0.107566611,11.10789214,2,32101197.34,9983.311323,2.006156057,3.99483974,3.999274615,7.506521231,9,4.41E-08,S15
24126011,0.666539041,0.023050428,1.909607906,4.720586698,-3.204830531,2.172668422,0.107643978,10.98203631,3,457496197,61220.16106,2.872706093,4.781570256,4.786894468,8.660387488,9,5.71E-08,S16
24125999,0.7204801,0.048667648,1.982895083,4.455462052,-2.93382356,2.115429322,0.11019501,10.99995765,3,838012713.7,102607.7184,3.080931334,5.00605026,5.011180031,8.923250607,9,5.46E-08,S17
24125873,1.115552646,0.091734758,2.468224115,4.654746147,-2.833168579,1.976169231,0.098938533,10.98713027,5,1585846845,107824.847,3.034969588,5.028331251,5.03271885,9.200261242,9,4.44E-08,S18
24126059,1.388790293,0.040090516,2.822217066,5.58908849,-3.316544999,2.202947606,0.151625424,10.87692926,5,1085186738,48042.33705,2.829647238,4.675474073,4.681624126,9.035504477,9,3.69E-08,S21
24125769,1.71716496,0.070287873,3.133489728,5.583503656,-3.093671478,2.183469005,0.142072918,10.82960147,6,1776958319,53944.40595,2.864575707,4.726012007,4.731946415,9.249677241,9,3.83E-08,S22
24125789,1.7139776,0.065554938,3.123845535,5.497721557,-3.109673228,2.174789065,0.135852767,10.85743489,6,1740222191,53450.34009,2.851282467,4.722142601,4.727950473,9.240604702,9,3.89E-08,S23
24125859,1.307176216,0.117687796,2.633034854,4.618040534,-2.823567201,1.999577937,0.102669122,10.98215766,5,1986331284,110599.9033,3.060653683,5.039215846,5.043754747,9.298051683,9,4.72E-08,S24
24126251,0.836564962,0.037619573,2.349658024,5.252607558,-3.618444552,1.966628501,0.180685818,10.94455471,4,305153437.8,23954.53523,2.45908753,4.374138392,4.379387749,8.484518267,9,3.07E-08,S29
23100392,0.253194671,0.002526003,2.490255216,5.487496762,-4.316360344,2.674422728,0.349252663,10.53119885,4,64392219.28,4262.791334,2.052891212,3.618031357,3.629694074,7.808833393,9,5.79E-09,S30
23100338,0.242069538,0.003430044,2.422483469,5.098428452,-4.053498669,2.808743776,0.314286112,10.20408439,4,58422936.53,4198.733968,2.095052448,3.610049537,3.623118359,7.766583382,9,6.60E-09,S31
23100328,0.570008514,0.002095846,2.847941036,5.916179627,-4.552696194,2.880546448,0.337931028,10.31735404,5,40340982.3,1731.11255,1.748267426,3.224041338,3.238325305,7.605746469,9,5.27E-09,S32
23099694,1.891887854,0.000155293,4.053628504,8.501121387,-5.967300673,2.563688546,0.545372559,10.33340606,7,3476921.918,34.60296187,-0.070100317,1.528299775,1.539113274,6.541194938,9,6.89E-09,S33
23100242,0.804171427,0.000183364,3.161448294,8.51054501,-6.732828272,3.051274021,0.366145042,10.13533629,5,432847.6771,12.702441,-0.314036267,1.086971435,1.103887186,5.636335091,9,4.39E-09,S34
23099678,1.995374128,0.000625838,4.12909223,8.17596893,-5.929962133,2.673438281,0.48907204,10.2575845,7,4339377.843,39.41146112,0.036155629,1.583478153,1.595622536,6.637427467,9,7.35E-09,S35
23100020,0.776389087,0.000492421,3.081173231,7.522695395,-5.809864479,2.897439075,0.578844687,9.938907724,5,2530634.281,81.8535245,0.47298099,1.89697785,1.913037384,6.403229387,9,4.96E-09,S36
23100428,-0.126482809,0.002184005,1.987175396,5.191979669,-4.282869274,2.044417809,0.276726618,10.74439602,3,35695182.84,4347.963853,1.785262434,3.632150781,3.638285925,7.552609611,9,7.70E-09,S37
23105314,-0.896580168,0.001961461,1.296625707,4.715162809,-4.430490081,2.661541121,0.356711921,10.55611698,2,16743694.25,4710.047528,2.092097383,3.661474302,3.673025289,7.223851285,9,6.41E-09,S38
23100434,-0.378927606,0.00189139,1.681832561,5.168980736,-4.410020491,1.778164317,0.254891075,10.8641354,2,13292948.42,2344.373007,1.408956119,3.365250323,3.370026712,7.123621319,9,8.69E-09,S39
23100408,-0.434312529,0.002308118,1.802363859,5.034234921,-4.313023102,2.977185752,0.40664177,10.44107475,3,42574192.6,6487.91985,2.385816463,3.795518688,3.812105476,7.629146421,9,5.80E-09,S40
23100176,0.559227713,0.005836007,2.504694681,4.745077241,-3.588450996,2.143738411,0.275226069,10.60829755,4,372276871.2,24217.31342,2.569473515,4.377419698,4.384125962,8.570866055,9,1.13E-08,S41
23103496,-0.587865044,0.001706608,1.537600004,5.032645508,-4.427718571,2.528512099,0.3815983,10.72366728,3,19077261.82,4007.226121,1.970872323,3.59258898,3.60284385,7.28051604,9,7.49E-09,S42
23100162,0.561029121,0.00194968,2.563140636,5.849035355,-4.583025165,2.30509357,0.287093427,10.43239665,4,13311048.42,806.6903622,1.158401676,2.898883661,2.906706868,7.124212263,9,9.95E-09,S43
