"COMID","ID","CAT_CONTACT","TOT_CONTACT","CAT_RECHG","TOT_RECHG","site_ID"
24422913,9,12.92,5.14,561.27,976,"S01"
24422975,9,10.24,8.13,496.91,840.96,"S02"
24423897,9,15,12.93,458.33,436.86,"S03"
24423139,9,14,10.91,460,567.62,"S04"
24422835,9,12.95,6.96,485.82,817.17,"S08"
24423157,9,13.54,13.16,488.7,614.55,"S10"
24423001,9,9,8.13,627.5,921.06,"S11"
24422871,9,4.98,3.3,892.37,955.31,"S12"
24125883,9,6,5.53,966.57,1079.66,"S13"
24125945,9,6,6.56,1052.58,1217.4,"S14"
24126041,9,8,7.42,986.21,1042.52,"S15"
24126011,9,7,6.49,1111.37,1254.98,"S16"
24125999,9,8,6.59,985,1222.4,"S17"
24125873,9,8,6.13,964.14,1130.45,"S18"
24126059,9,30.18,11.29,407.49,1038.21,"S21"
24125769,9,56.93,16.7,87.82,964.9,"S22"
24125789,9,133.8,14.85,245.96,983.5,"S23"
24125857,9,8,6.39,865.85,1134,"S24"
24126251,9,32.2,25.69,29.85,243.07,"S29"
23100392,9,21.06,165.06,22.07,63.1,"S30"
23100338,9,78.37,147.08,14.44,71.34,"S31"
23100328,9,77.99,142.78,14,57.28,"S32"
23099694,9,95.89,144.3,13,315.93,"S33"
23100242,9,138.31,147.91,13,45.27,"S34"
23099678,9,251.28,150.43,12,271.03,"S35"
23100020,9,115.24,234.16,13,93.95,"S36"
23100428,9,227.43,182.11,69.54,97.01,"S37"
23105314,9,260,236.17,76.64,80.58,"S38"
23100434,9,201.95,128.03,84.42,116.23,"S39"
23100408,9,165.73,220.6,63.65,66.41,"S40"
23100176,9,51.05,89.44,17.6,221.34,"S41"
23103496,9,39,33.04,55.6,107.78,"S42"
23100162,9,571.97,115.91,14.91,195.44,"S43"
23100192,9,59,101.37,101.88,271.1,"S44"
24423421,9,21.05,23.9,577.05,799.9,"S45"
24423347,9,12.55,9.65,986.93,1052.23,"S46"
24423359,9,11.06,8.66,988.79,1062.49,"S47"
24423325,9,27.99,20.88,785.97,901.75,"S48"
24423655,9,118,63.04,46.37,214.72,"S49"
24125037,9,41,84.93,14,322.01,"S50"
24422713,9,100.53,14.62,61.1,652.23,"S50P"
24423233,9,87.39,31.84,42.57,639.2,"S51"
24423623,9,27,26.21,373,364.06,"S52"
24424869,9,27,22.77,468.41,574.97,"S53"
24423243,9,68.27,25.25,136.08,724.97,"S54"
24423517,9,52.15,68.61,15.9,136.49,"S55"
24423479,9,405.17,130.69,14,81.62,"S56"
23099864,9,368.05,70.21,14,402.98,"S57"
24425515,9,480.32,24.7,14,632.41,"S58"
24422873,9,3,3.17,946.98,963.96,"S61"
24423847,9,3,3,941.69,941.69,"S62"
23100404,9,139,185.83,59.36,81.58,"S63"
23100608,9,139,180.74,54.01,44.33,"S63P"
23100200,9,260.67,77.55,169.21,217.94,"S64"
24424705,9,46.86,38.13,155.54,194.62,"S65"
24423741,9,27,22.07,475.74,469.55,"S66"
23099678,9,251.28,150.43,12,271.03,"T02"
23099844,9,52,106.88,14,376.89,"T03"
24425579,9,430.75,23.22,15.22,638.42,"T05"
24422823,9,17.69,7.78,451.46,767.2,"T05P"
24422913,9,12.92,5.14,561.27,976,"T06"
23107212,9,272.21,272.62,8,8.13,"T07"
24425579,9,430.75,23.22,15.22,638.42,"T41"
24425579,9,430.75,23.22,15.22,638.42,"T42"
24125883,9,6,5.53,966.57,1079.66,"S13R"
24125999,9,8,6.59,985,1222.4,"S17R"
24125873,9,8,6.13,964.14,1130.45,"S18R"
24125729,9,15.09,16.47,346.11,529.33,"S19"
24125633,9,20.06,9.76,304.72,405.66,"S19E"
24125811,9,17.5,8.45,400.46,1028.15,"S20R"
24126061,9,8.41,11.29,417.66,1057.76,"S21R"
24125859,9,8,6.38,925.11,1135.17,"S24R"
24125699,9,17.48,8.71,373.92,534.53,"S25"
24125769,9,56.93,16.7,87.82,964.9,"S26R"
24126823,9,12.1,10.59,917.36,945.14,"S27R"
24131037,9,82,22.65,22,164.18,"S28R"
24131041,9,82,19.37,22,781.9,"S28RE"
24126251,9,32.2,25.69,29.85,243.07,"S29R"
23100398,9,96.13,177.33,35.08,70.36,"S30R"
24423233,9,87.39,31.84,42.57,639.2,"S49R"
24125193,9,69.19,43.33,14,415.97,"S67"
24126401,9,102,67.4,14,24.98,"S68"
24126327,9,42.04,48.78,20.76,194.99,"S71"
24126315,9,30,48.8,15,191,"S72"
24125421,9,35.14,32.02,15,555,"S73"
24131135,9,51.51,33.16,15,86.65,"S75"
24423479,9,405.17,130.69,14,81.62,"S77"
24125115,9,81.06,67.45,13.07,369.74,"S79"
23099884,9,42.88,93.43,14,159.36,"S82"
24126203,9,8.3,7.58,999.55,1049.15,"S83"
24126509,9,111.55,69.96,132.26,218.04,"W10 "
24126487,9,50,71.48,52.41,172.08,"W20 "
24126441,9,48,50.97,28.84,53.75,"U10 "
24126427,9,74.78,60.21,15.42,35.48,"U20 "
24126399,9,100.75,67.4,14,24.98,"U21 "
24423347,9,12.55,9.65,986.93,1052.23,"C11 "
24423347,9,12.55,9.65,986.93,1052.23,"C10 "
24423347,9,12.55,9.65,986.93,1052.23,"C21 "
24423347,9,12.55,9.65,986.93,1052.23,"Ct20 "
24423347,9,12.55,9.65,986.93,1052.23,"Ct21 "
24423347,9,12.55,9.65,986.93,1052.23,"C20 "
24423879,9,12,12,503.75,503.75,"J21"
24125193,9,69.19,43.33,14,415.97,"U23"
24126441,9,48,50.97,28.84,53.75,"U22"
