"COMID","ID","CAT_HDENS90","TOT_HDENS90","CAT_EVI_AMJ_2012","TOT_EVI_AMJ_2012","CAT_EVI_JAS_2012","TOT_EVI_JAS_2012","CAT_EVI_JFM_2012","TOT_EVI_JFM_2012","CAT_EVI_OND_2011","TOT_EVI_OND_2011","WGW","WSW","site_ID"
23100404,9,0,0.09,0.26,-9999,0.26,0.27,0.17,0.22,0.19,0.23,21204.87,40811.22,"S63"
23100608,9,0,0,0.25,-9999,0.24,0.24,0.17,0.18,0.18,0.21,27049.3,60566.15,"S63P"
23100200,9,0,0,0.32,-9999,0.34,0.26,0.31,0.27,0.34,0.28,28050.78,98843.13,"S64"
24424705,9,0,0,0.23,-9999,0.21,0.24,0.17,0.21,0.21,0.25,11098.92,39109.49,"S65"
24423741,9,0,0.1,0.31,-9999,0.29,0.25,0.26,0.19,0.19,0.18,4953.33,17454.14,"S66"
23099678,9,19.11,5.52,0.23,-9999,0.32,0.24,0.14,0.17,0.19,0.2,645709.9,2275301.65,"T02"
23099844,9,12.15,6.27,0.16,-9999,0.12,0.24,0.1,0.18,0.12,0.21,3967,13978.59,"T03"
24425579,9,36.22,0.29,0.27,-9999,0.26,0.26,0.15,0.2,0.21,0.22,125729.93,443037.22,"T05"
24422823,9,0.29,0,0.27,-9999,0.29,0.3,0.28,0.21,0.31,0.25,7900.41,36716.5,"T05P"
24422913,9,0,0,0.24,-9999,0.28,0.26,0.22,0.17,0.25,0.21,143592.25,505979.06,"T06"
23107212,9,0.98,1.25,0.18,-9999,0.15,0.18,0.12,0.12,0.12,0.14,75635.8,276084.21,"T07"
24425579,9,36.22,0.29,0.27,-9999,0.26,0.26,0.15,0.2,0.21,0.22,125729.93,443037.22,"T41"
24425579,9,36.22,0.29,0.27,-9999,0.26,0.26,0.15,0.2,0.21,0.22,125729.93,443037.22,"T42"
24125883,9,0,0,0.21,-9999,0.25,0.23,0.13,0.1,0.18,0.17,9916.95,101035.2,"S13R"
24125999,9,0,0,0.23,-9999,0.26,0.27,0.22,0.15,0.27,0.2,456.92,4655.17,"S17R"
24125873,9,0,0,0.28,-9999,0.31,0.24,0.27,0.12,0.29,0.18,833,8486.74,"S18R"
24125729,9,0,0,0.32,-9999,0.32,0.27,0.27,0.21,0.31,0.24,5679.88,57867.4,"S19"
24125633,9,0,0,0.32,-9999,0.3,0.26,0.3,0.16,0.3,0.21,3063.13,31207.58,"S19E"
24125811,9,0.11,0.28,0.34,-9999,0.36,0.26,0.3,0.16,0.34,0.21,11352.73,115663.19,"S20R"
24126061,9,2.94,1.18,0.33,-9999,0.37,0.34,0.26,0.23,0.3,0.28,2947.14,30025.88,"S21R"
24125859,9,0,0,0.25,-9999,0.26,0.25,0.25,0.13,0.29,0.19,3179.12,32389.27,"S24R"
24125699,9,0,0,0.31,-9999,0.3,0.24,0.27,0.13,0.3,0.19,15832.32,161301.8,"S25"
24125769,9,2.3,2.14,0.3,-9999,0.3,0.31,0.17,0.2,0.21,0.25,1388.34,14144.57,"S26R"
24126823,9,4.04,2.85,0.27,-9999,0.33,0.33,0.25,0.23,0.3,0.29,22547.3,229714.97,"S27R"
24131037,9,0,0.19,0.26,-9999,0.15,0.23,0.16,0.2,0.2,0.21,166.95,1700.93,"S28R"
24131041,9,0,1.58,0.28,-9999,0.18,0.3,0.13,0.2,0.18,0.24,101.93,1038.46,"S28RE"
24126251,9,1.85,0.37,0.27,-9999,0.22,0.27,0.18,0.21,0.22,0.23,51983.57,529615.65,"S29R"
23100398,9,0,0.06,0.2,-9999,0.13,0.25,0.13,0.2,0.13,0.21,42217.08,148761.2,"S30R"
24423233,9,2.1,0.13,0.22,-9999,0.18,0.25,0.12,0.2,0.17,0.21,90568.9,319139.57,"S49R"
24125193,9,2.06,2.75,0.18,-9999,0.13,0.27,0.11,0.19,0.14,0.23,43600.83,444211.09,"S67"
24126401,9,0,0.79,0.15,-9999,0.12,0.14,0.1,0.1,0.13,0.13,145.86,1486.08,"S68"
24126327,9,0.8,0.67,0.25,-9999,0.2,0.25,0.15,0.22,0.17,0.23,10321.15,105153.23,"S71"
24126315,9,2.89,0.72,0.37,-9999,0.34,0.25,0.16,0.22,0.27,0.23,3066.64,31243.38,"S72"
24125421,9,2.69,1.35,0.4,-9999,0.34,0.28,0.15,0.19,0.28,0.23,12104.9,123326.32,"S73"
24131135,9,7.68,0.08,0.47,-9999,0.45,0.26,0.16,0.24,0.31,0.25,412.99,4207.56,"S75"
24423479,9,19.24,5.33,0.31,-9999,0.28,0.25,0.15,0.16,0.26,0.23,286219.85,1008558.95,"S77"
24125115,9,0.9,2.48,0.16,-9999,0.1,0.25,0.1,0.18,0.13,0.22,9651.58,98331.61,"S79"
23099884,9,21.16,5.19,0.26,-9999,0.23,0.26,0.13,0.19,0.19,0.23,68566.17,241608.05,"S82"
24126203,9,3.24,0.8,0.33,-9999,0.42,0.39,0.31,0.3,0.34,0.32,7957.46,81071.66,"S83"
24126509,9,0.98,0.1,0.25,-9999,0.2,0.23,0.16,0.23,0.2,0.24,48731.19,171715.11,"W10 "
24126487,9,0.17,0.21,0.25,-9999,0.19,0.21,0.12,0.2,0.18,0.21,2492.92,8784.36,"W20 "
24126441,9,0.54,0.13,0.2,-9999,0.16,0.17,0.12,0.14,0.18,0.18,617.81,2176.99,"U10 "
24126427,9,0.65,0.3,0.18,-9999,0.14,0.15,0.09,0.12,0.12,0.15,40396.96,159400.26,"U20 "
24126399,9,1.18,0.79,0.15,-9999,0.11,0.14,0.1,0.1,0.12,0.13,13136.48,133836.27,"U21 "
24423347,9,0,0,0.23,-9999,0.27,0.26,0.21,0.18,0.22,0.23,235223.36,828861.52,"C11 "
24423347,9,0,0,0.23,-9999,0.27,0.26,0.21,0.18,0.22,0.23,235223.36,828861.52,"C10 "
24423347,9,0,0,0.23,-9999,0.27,0.26,0.21,0.18,0.22,0.23,235223.36,828861.52,"C21 "
24423347,9,0,0,0.23,-9999,0.27,0.26,0.21,0.18,0.22,0.23,235223.36,828861.52,"Ct20 "
24423347,9,0,0,0.23,-9999,0.27,0.26,0.21,0.18,0.22,0.23,235223.36,828861.52,"Ct21 "
24423347,9,0,0,0.23,-9999,0.27,0.26,0.21,0.18,0.22,0.23,235223.36,828861.52,"C20 "
24423879,9,0,0,0.28,-9999,0.31,0.31,0.28,0.28,0.3,0.3,7340.61,74787.17,"J21"
24125193,9,2.06,2.75,0.18,-9999,0.13,0.27,0.11,0.19,0.14,0.23,43600.83,444211.09,"U23"
24126441,9,0.54,0.13,0.2,-9999,0.16,0.17,0.12,0.14,0.18,0.18,617.81,2176.99,"U22"
