"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","tz_cd"
"USGS","12479500",1988-07-26,"15:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,5,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-07-26 22:00:00,"UTC"
"USGS","12479500",1988-07-26,"16:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,3,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-07-26 23:00:00,"UTC"
"USGS","12479500",1988-08-09,"11:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,3,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-08-09 18:00:00,"UTC"
"USGS","12479500",1988-09-13,"09:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-13 16:00:00,"UTC"
"USGS","12479500",1988-09-20,"12:45",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-20 19:45:00,"UTC"
"USGS","12479500",1988-09-20,"17:15",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-21 00:15:00,"UTC"
"USGS","12479500",1988-09-20,"21:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-21 04:00:00,"UTC"
"USGS","12479500",1988-09-21,"01:13",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,2,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-21 08:13:00,"UTC"
"USGS","12479500",1988-09-21,"05:10",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-21 12:10:00,"UTC"
"USGS","12479500",1988-09-21,"09:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-21 16:00:00,"UTC"
"USGS","12479500",1988-10-11,"11:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-10-11 18:00:00,"UTC"
"USGS","12479500",1988-11-08,"13:20",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,4,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1988-11-08 21:20:00,"UTC"
"USGS","12479500",1988-12-13,"12:10",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,25,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1988-12-13 20:10:00,"UTC"
"USGS","12479500",1989-01-12,"11:25",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1989-01-12 19:25:00,"UTC"
"USGS","12479500",1989-01-31,"18:57",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,25,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1989-02-01 02:57:00,"UTC"
"USGS","12479500",1989-02-14,"12:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,2,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1989-02-14 20:00:00,"UTC"
"USGS","12479500",1989-03-14,"13:15",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,3,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1989-03-14 21:15:00,"UTC"
"USGS","12479500",1989-04-06,"19:43",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,85,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-04-07 02:43:00,"UTC"
"USGS","12479500",1989-04-11,"11:10",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,5,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-04-11 18:10:00,"UTC"
"USGS","12479500",1989-05-09,"11:27",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,6,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-05-09 18:27:00,"UTC"
"USGS","12479500",1989-06-13,"11:50",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,2,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-06-13 18:50:00,"UTC"
"USGS","12479500",1989-06-29,"12:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,6,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-06-29 19:00:00,"UTC"
"USGS","12479500",1989-06-29,"12:05",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,5,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-06-29 19:05:00,"UTC"
"USGS","12479500",1989-07-11,"11:30",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,4,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-07-11 18:30:00,"UTC"
"USGS","12479500",1989-08-09,"13:45",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154","<",1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-08-09 20:45:00,"UTC"
"USGS","12479500",1989-09-12,"18:37",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,0,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-09-13 01:37:00,"UTC"
"USGS","12479500",1989-10-11,"13:45",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,1,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1989-10-11 20:45:00,"UTC"
"USGS","12479500",1989-11-14,"06:05",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,6,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1989-11-14 14:05:00,"UTC"
"USGS","12479500",1989-12-12,"12:01",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,3,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1989-12-12 20:01:00,"UTC"
"USGS","12479500",1990-01-09,"10:52",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,12,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1990-01-09 18:52:00,"UTC"
"USGS","12479500",1990-01-10,"11:30",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,130,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1990-01-10 19:30:00,"UTC"
"USGS","12479500",1990-02-13,"08:15",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,8,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1990-02-13 16:15:00,"UTC"
"USGS","12479500",1990-03-13,"10:45",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,2,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1990-03-13 18:45:00,"UTC"
"USGS","12479500",1991-02-20,"15:22",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,2050,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1991-02-20 23:22:00,"UTC"
