"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","startDateTime","remark_cd_00681","result_va_00681","val_qual_tx_00681","meth_cd_00681","dqi_cd_00681","rpt_lev_va_00681","rpt_lev_cd_00681","lab_std_va_00681","prep_set_no_00681","prep_dt_00681","anl_set_no_00681","anl_dt_00681","result_lab_cm_tx_00681","anl_ent_cd_00681","month"
"USGS","12479500",1988-09-20,"21:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,1988-09-20 21:00:00,NA,1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12479500",1988-09-21,"05:10",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,1988-09-21 05:10:00,NA,0.9,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12479500",1988-10-11,"11:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-10-11 11:00:00,NA,1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"USGS","12479500",1988-11-08,"13:20",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-11-08 13:20:00,NA,1.3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"USGS","12479500",1988-12-13,"12:10",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-12-13 12:10:00,NA,2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"USGS","12479500",1989-01-12,"11:25",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-01-12 11:25:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USGS","12479500",1989-01-31,"18:57",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-01-31 18:57:00,NA,2.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USGS","12479500",1989-02-14,"12:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-02-14 12:00:00,NA,1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"USGS","12479500",1989-03-14,"13:15",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-03-14 13:15:00,NA,1.3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"USGS","12479500",1989-04-06,"19:43",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-04-06 19:43:00,NA,1.9,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1989-04-11,"11:10",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-04-11 11:10:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12479500",1989-05-09,"11:27",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-05-09 11:27:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"USGS","12479500",1989-06-13,"11:50",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-06-13 11:50:00,NA,1.3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12479500",1989-06-29,"12:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-06-29 12:00:00,NA,2.8,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12479500",1989-07-11,"11:30",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-07-11 11:30:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"USGS","12479500",1989-08-09,"13:45",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-08-09 13:45:00,NA,1.1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"USGS","12479500",1989-09-12,"18:37",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-09-12 18:37:00,NA,0.8,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12479500",1989-10-11,"13:45",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-10-11 13:45:00,NA,0.8,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"USGS","12479500",1989-11-14,"06:05",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-11-14 06:05:00,NA,1.7,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"USGS","12479500",1989-12-12,"12:01",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1989-12-12 12:01:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"USGS","12479500",1990-01-09,"10:52",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1990-01-09 10:52:00,NA,2.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USGS","12479500",1990-01-10,"11:30",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1990-01-10 11:30:00,NA,2.8,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
